0.171187,0.800068,0.408720,0.627973,0.315950
0.706046,0.431414,0.594896,0.291984,0.842523
0.031833,0.910648,0.262212,0.431651,0.178682
0.276923,0.181847,0.602843,0.015487,0.710292
0.046171,0.263803,0.711216,0.984064,0.391807
0.097132,0.145539,0.221747,0.167168,0.430942
0.823458,0.136069,0.117418,0.106216,0.716597
0.694829,0.869292,0.296676,0.372410,0.545030
0.317099,0.579705,0.318778,0.198118,0.509736
0.950222,0.549860,0.424167,0.489688,0.782003
0.034446,0.144955,0.507858,0.339493,0.515467
0.438744,0.853031,0.085516,0.951630,0.144889
0.381558,0.622055,0.262482,0.920332,0.303554
0.765517,0.350952,0.801015,0.052677,0.986214
0.795200,0.513250,0.029220,0.737858,0.463475
0.186873,0.401808,0.928854,0.269119,0.735161
0.489764,0.075967,0.730331,0.422836,0.827422
0.445586,0.239916,0.488609,0.547871,0.658563
0.646313,0.123319,0.578525,0.942737,0.660477
0.709365,0.183908,0.237284,0.417744,0.689149
