3
1
1.604,6.182,4.451,493.86
0.046,7.475,2.019,1767.49
6.79,0.375,0.71,3.36039
2.918,4.048,0.224,57.9525
1.657,4.802,4.826,132.402
3.692,5.331,5.24,216.601
5.294,5.266,3.521,199.846
4.111,3.974,6.638,65.6483
6.206,7.782,2.326,2401.64
6.135,3.125,2.634,27.8803
2.957,7.729,5.546,2284.6
0.324,6.744,6.82,862.908
5.078,4.66,5.801,116.304
3.148,0.657,2.916,7.75459
0.63,1.874,1.781,10.6654
2.966,1.476,6.715,17.9801
2.497,0.671,1.445,5.44707
1.888,5.307,7.48,217.654
1.728,4.254,7.642,86.6581
2.643,7.248,1.678,1409.13
2.53,1.451,7.535,19.9116
4.983,2.577,0.479,13.152
0.085,1.347,5.498,14.9268
2.304,0.667,1.008,4.70742
2.16,5.033,4.485,163.194
6.344,4.453,7.375,100.695
0.64,0.275,0.723,3.35973
3.224,2.728,4.107,23.4339
3.163,3.121,2.318,27.2836
4.88,6.573,2.523,719.573
4.919,2.781,5.671,26.4984
6.277,7.976,4.987,2920.23
6.977,4,3.68,62.5976
3.892,6.44,0.495,626.715
1.255,1.163,3.625,11.4001
0.093,1.03,6.186,15.2659
5.905,6.292,0.343,540.549
0.348,2.578,3.531,20.5738
3.583,2.492,0.041,11.7402
4.511,6.264,2.99,530.316
6.078,1.446,0.532,5.10635
7.757,2.572,6.464,27.0153
3.646,4.9,7.297,148.4
6.19,3.971,2.4,57.7445
2.728,6.184,5.202,495.734
7.813,3.269,6.249,39.7822
0.768,3.937,5.185,62.3293
6.158,7.759,7.742,2357.92
5.063,6.175,4.912,489.468
5.596,7.405,1.773,1647.1
1.094,1.118,5.975,15.8972
0.157,5.741,7.364,326.26
4.376,0.771,4.923,11.064
1.177,3.291,6.451,40.6952
6.79,1.262,4.61,13.2379
1.427,7.462,5.83,1753.28
2.508,1.909,6.972,21.2824
3.347,0.764,6.052,14.0469
7.539,7.329,4.215,1533.24
0.765,2.245,7.954,26.041
5.679,2.433,4.417,19.6589
2.634,2.046,0.423,9.06897
3.596,2.347,2.58,15.1752
6.135,5.03,0.644,154.073
1.749,2.132,7.663,24.7419
7.621,7.613,2.457,2030.23
7.53,2.615,0.262,15.1392
4.968,0,1.386,2.80449
3.467,6.463,7.944,656.549
1.582,0.045,4.237,10.52
5.573,3.781,2.102,47.4119
0.195,6.385,5.273,603.624
4.348,7.341,0.377,1542.07
0.363,2.569,6.595,26.5978
1.736,2.188,4.664,19.2317
2.683,5.512,4.303,256.695
5.922,2.146,2.214,12.6252
0.702,0.186,4.651,11.1522
1.75,2.7,3.702,23.2677
0.519,3.48,3.339,39.6337
6.064,0.246,6.585,14.2315
5.279,1.035,3.1,8.17138
2.46,6.835,2.137,934.732
1.495,4.218,4.586,78.0667
7.612,2.832,6.12,30.1903
4.761,3.532,0.272,33.7375
7.257,7.347,0.377,1553.12
2.773,2.403,1.156,13.7286
3.442,5.67,3.206,296.151
5.923,0.069,6.755,14.229
5.034,7.969,6.983,2902.98
5.472,7.592,0.327,1982.2
5.494,6.131,1.42,462.026
5.184,0.477,3.724,8.1684
0.025,1.106,7.032,17.1112
0.005,0.27,3.219,7.75296
3.353,4.858,6.44,141.437
2.009,1.866,0.027,7.42191
5.992,7.41,0.692,1653.52
6.528,1.814,2.901,12.1793
