5
1
1853.00, 0.470, 175.100, 3.720, 175.000, 40.190
1857.00, 0.470, 174.900, 3.200, 180.000, 41.850
1855.00, 0.530, 175.300, 3.180, 180.000, 42.200
1864.00, 0.480, 175.300, 3.190, 180.000, 41.800
1807.00, 0.480, 175.100, 2.800, 200.000, 43.030
1800.00, 0.470, 175.100, 2.800, 200.000, 42.710
1804.00, 0.460, 175.100, 2.760, 200.000, 42.680
1800.00, 0.460, 174.000, 2.800, 200.000, 42.550
1797.00, 0.470, 175.000, 2.780, 200.000, 42.650
1804.00, 0.470, 175.100, 2.810, 200.000, 42.560
1801.00, 0.480, 174.900, 2.730, 165.000, 41.520
1798.00, 0.480, 175.100, 2.780, 165.000, 42.180
1854.00, 0.470, 175.000, 3.720, 145.000, 40.200
1854.00, 0.470, 175.100, 3.950, 145.000, 40.860
1854.00, 0.470, 175.100, 2.740, 145.000, 42.020
1850.00, 0.470, 175.400, 3.770, 150.000, 41.290
1861.00, 0.470, 175.200, 3.610, 150.000, 40.330
1853.00, 0.470, 175.000, 3.860, 170.000, 39.810
1849.00, 0.460, 175.000, 3.860, 178.000, 41.230
1839.00, 0.470, 175.100, 3.710, 180.000, 41.200
1601.00, 0.470, 175.000, 4.040, 150.000, 40.310
1780.00, 0.450, 175.000, 3.200, 130.000, 40.030
1790.00, 0.460, 175.000, 2.280, 130.000, 42.650
1799.00, 0.470, 175.000, 3.510, 130.000, 41.460
1847.00, 0.480, 174.800, 3.450, 130.000, 42.210
1681.00, 0.440, 169.900, 1.500, 185.000, 38.010
1848.00, 0.490, 169.900, 2.020, 215.000, 39.700
1581.00, 0.450, 170.200, 1.440, 200.000, 37.380
1807.00, 0.500, 169.700, 2.490, 158.000, 39.410
1521.00, 0.460, 175.500, 2.740, 168.000, 42.320
1523.00, 0.470, 175.000, 2.710, 165.000, 41.240
1529.00, 0.480, 174.500, 2.730, 165.000, 41.880
1533.00, 0.480, 175.400, 2.710, 163.000, 43.480
1487.00, 0.470, 174.800, 1.240, 165.000, 44.100
1531.00, 0.480, 175.100, 2.630, 167.000, 41.990
2055.00, 0.520, 174.800, 2.880, 178.000, 40.780
2056.00, 0.530, 174.500, 2.430, 182.000, 44.060
2064.00, 0.530, 175.400, 2.860, 184.000, 42.710
2052.00, 0.520, 174.500, 2.940, 185.000, 42.110
2053.00, 0.520, 175.300, 3.210, 198.000, 42.120
2053.00, 0.510, 175.400, 3.240, 185.000, 40.890
2053.00, 0.520, 175.100, 3.100, 205.000, 40.860
2063.00, 0.520, 175.500, 3.200, 198.000, 41.840
2050.00, 0.520, 175.100, 3.200, 210.000, 41.630
2060.00, 0.520, 175.200, 3.890, 210.000, 42.400
2090.00, 0.530, 175.100, 3.410, 200.000, 42.030
2066.00, 0.530, 175.200, 3.440, 205.000, 41.900
2064.00, 0.530, 175.200, 3.440, 210.000, 41.430
2049.00, 0.520, 174.200, 3.710, 205.000, 42.200
2109.00, 0.530, 174.700, 3.210, 173.000, 43.500
2109.00, 0.580, 174.200, 3.260, 170.000, 42.010
2144.00, 0.560, 172.100, 2.910, 155.000, 41.930
1899.00, 0.480, 171.200, 2.540, 200.000, 43.910
