7.679,4.348,2.502,83.3124
5.977,4.091,7.924,75.3462
2.138,3.557,5.311,46.5233
5.682,0.584,0.552,2.33158
6.864,4.661,7.326,120.942
1.994,5.572,7.307,278.485
6.659,6.178,5.862,494.118
3.426,2.303,7.529,24.7816
4.701,4.7,0.957,110.861
0.494,1.801,6.753,20.0359
1.488,1.932,3.374,14.6479
5.881,5.557,3.161,264.975
7.572,1.562,4.696,15.1209
5.281,4.205,5.246,76.6699
1.817,2.771,3.065,23.0744
4.729,2.575,5.305,22.7415
4.327,7.946,1.229,2825.79
2.158,1.533,7.216,19.8965
7.781,1.291,6.777,18.1878
6.527,4.587,2.274,102.989
7.673,5.362,7.995,230.124
3.759,5.272,7.811,209.848
0.254,0.459,4.186,10.2058
7.673,0.36,5.027,12.471
3.786,2.498,5.061,21.6794
4.969,7.585,4.609,1976.7
7.926,7.241,0.746,1397.98
5.929,0.311,1.439,3.89596
2.34,6.795,7.203,908.494
4.967,3.88,3.116,53.6885
5.945,1.14,6.411,15.617
3.931,3.104,4.646,30.869
6.15,1.537,6.121,16.7598
4.566,7.892,7.034,2688.87
6.997,4.307,2.012,78.8962
4.515,6.807,1.874,906.922
2.896,5.237,2.458,193.264
0.289,7.701,0.209,2211.26
6.47,2.973,0.228,20.1922
5.915,6.591,7.909,743.967
3.376,2.252,0.943,11.1605
6.926,0.393,5.059,12.1989
3.206,6.232,3.904,516.516
1.564,2.303,2.081,15.1661
4.62,6.98,2.788,1079.5
3.545,0.428,2.252,5.64563
7.316,5.046,3.278,162.814
1.34,2.18,7.849,25.5178
7.344,7.913,4.356,2742.16
4.24,2.181,5.193,18.3507
2.435,7.149,2.522,1278.53
3.591,5.27,1.687,197.356
3.961,3.603,7.925,51.8275
5.679,0.782,0.572,2.76175
3.718,3.67,4.104,46.9149
5.568,0.223,6.685,13.9641
0.002,4.835,6.47,138.781
4.413,0.675,5.438,11.8845
4.795,7.305,6.018,1498.76
4.506,7.928,3.552,2780
2.382,3.965,1.847,57.1029
2.471,5.23,7.428,202.27
7.925,4.151,6.5,77.4949
3.442,4.278,0.594,72.9882
4.919,7.112,5.833,1237.29
5.596,2.513,4.182,20.0715
3.341,1.352,4.518,12.7031
6.032,6.388,4.432,603.282
1.302,4.772,2.631,124.381
7.721,4.885,0.395,134.072
3.69,1.59,0.521,5.42442
3.358,2.402,2.876,16.5825
1.459,1.004,1.684,7.09093
0.342,7.058,3.017,1168.49
0.207,5.801,4.804,340.444
0.681,2.957,2.651,25.1717
3.055,4.461,2.486,91.6325
7.616,1.183,6.716,17.668
0.038,5.461,1.648,238.667
6.678,4.784,4.913,129.792
2.991,5.861,6.691,364.607
7.864,0.252,4.757,11.8005
7.372,0.274,3.827,9.85529
2.662,2.939,1.116,21.5904
5.259,6.72,2.89,833.743
3.805,1.277,7.878,18.7261
0.412,2.299,3.369,17.1027
0.301,4.323,6.766,89.243
4.022,4.239,0.933,70.4335
5.622,2.17,0.443,9.03023
5.439,2.377,5.273,20.5711
1.36,6.826,7.952,938.379
5.04,4.106,6.653,73.0626
6.098,5.3,0.923,201.999
6.323,3.697,3.158,46.6819
7.038,4.591,3.86,106.998
1.066,0.712,0.829,4.57134
1.764,1.673,3.391,13.0915
0.283,6.843,0.18,937.936
2.288,3.128,7.705,38.9919
